Id,Title,previewLink,new_url_id
0060838655,A People's History of the United States: 1492 to Present,http://books.google.nl/books?id=iMJcCgAAQBAJ&printsec=frontcover&dq=A+People%27s+History+of+the+United+States:+1492+to+Present&hl=&cd=1&source=gbs_api,iMJcCgAAQBAJ
B0007FJ2CK,The last voyage of the Lusitania: A true tale of disaster at sea (Popular giant),http://books.google.com/books?id=8YZoBAAAQBAJ&printsec=frontcover&dq=The+last+voyage+of+the+Lusitania:+A+true+tale+of+disaster+at+sea+(Popular+giant)&hl=&cd=1&source=gbs_api,8YZoBAAAQBAJ
B00093HQJ6,The founder's dilemma. (managing growing companies) (Entreprising CEO): An article from: Chief Executive (U.S.),http://books.google.com/books?id=y9_mxZLYiiMC&printsec=frontcover&dq=The+founder%27s+dilemma.+(managing+growing+companies)+(Entreprising+CEO):+An+article+from:+Chief+Executive+(U.S.)&hl=&cd=1&source=gbs_api,y9_mxZLYiiMC
B000MS0A0A,Zen And The Art of Motorcycle Maintenance,http://books.google.com/books?id=gx2ev_vwGKAC&printsec=frontcover&dq=Zen+And+The+Art+of+Motorcycle+Maintenance&hl=&cd=1&source=gbs_api,gx2ev_vwGKAC
B000H0BNVI,The Bourne Identity,http://books.google.com/books?id=BebwoOZCPr0C&printsec=frontcover&dq=The+Bourne+Identity&hl=&cd=1&source=gbs_api,BebwoOZCPr0C
0802727271,No Greater Love (Walker Large Print Books),http://books.google.com/books?id=tLR27wsHP2cC&dq=No+Greater+Love+(Walker+Large+Print+Books)&hl=&cd=1&source=gbs_api,tLR27wsHP2cC
B000I3NFKG,The Catcher In The Rye,http://books.google.com/books?id=m3GzoAEACAAJ&dq=THE+CATCHER+IN+THE+RYE&hl=&cd=1&source=gbs_api,m3GzoAEACAAJ
009183449X,Shiver: A novel,http://books.google.com/books?id=Jh47BAAAQBAJ&printsec=frontcover&dq=Shiver:+A+novel&hl=&cd=1&source=gbs_api,Jh47BAAAQBAJ
B00092YWGM,Mr. Beddle had a lamb.(short story): An article from: Jack & Jill,http://books.google.com/books?id=1d3XWXXxnEsC&printsec=frontcover&dq=Mr.+Beddle+had+a+lamb.(short+story):+An+article+from:+Jack&hl=&cd=1&source=gbs_api,1d3XWXXxnEsC
0333722175,Bridget Jones's Diary,http://books.google.com/books?id=LtNSdRFFRbAC&printsec=frontcover&dq=Bridget+Jones%27s+Diary&hl=&cd=1&source=gbs_api,LtNSdRFFRbAC
